"Date","Price","Open","High","Low","Vol.","Change %"
"11/28/2018","140.60","138.03","140.60","137.42","6.06M","2.33%"
"11/27/2018","137.40","136.65","137.42","136.27","2.86M","0.12%"
"11/26/2018","137.23","136.48","137.28","136.18","4.70M","1.55%"
"11/23/2018","135.13","134.92","135.92","134.73","1.30M","-0.54%"
"11/21/2018","135.86","136.00","136.89","135.75","4.15M","0.49%"
"11/20/2018","135.20","135.73","136.62","134.64","4.63M","-1.78%"
"11/19/2018","137.65","139.83","139.93","137.17","3.48M","-1.73%"
"11/16/2018","140.08","139.07","140.57","138.82","2.27M","0.21%"
"11/15/2018","139.78","137.55","140.01","136.70","3.63M","1.13%"
"11/14/2018","138.22","140.34","140.57","137.38","2.77M","-0.73%"
"11/13/2018","139.24","139.77","140.92","138.82","2.29M","-0.14%"
"11/12/2018","139.44","141.79","141.97","139.18","3.53M","-1.92%"
"11/09/2018","142.17","142.91","142.96","141.29","2.23M","-1.02%"
"11/08/2018","143.64","143.55","144.06","142.98","1.87M","-0.19%"
"11/07/2018","143.92","142.30","144.00","141.97","2.78M","2.04%"
"11/06/2018","141.04","140.19","141.11","140.17","2.03M","0.57%"
"11/05/2018","140.24","139.80","140.52","139.19","3.14M","0.49%"
"11/02/2018","139.56","140.93","141.20","138.39","3.17M","-0.41%"
"11/01/2018","140.13","139.04","140.37","138.52","3.71M","1.13%"
"10/31/2018","138.56","138.60","139.84","138.37","4.03M","1.04%"
"10/30/2018","137.13","134.96","137.29","134.61","3.68M","1.56%"
"10/29/2018","135.02","137.51","138.33","133.07","5.17M","-0.55%"
"10/26/2018","135.77","136.12","137.53","134.17","6.62M","-1.73%"
"10/25/2018","138.16","136.63","138.96","136.17","4.89M","1.88%"
"10/24/2018","135.61","139.89","140.09","135.40","6.01M","-3.11%"
"10/23/2018","139.96","138.69","140.67","137.46","4.98M","-0.59%"
"10/22/2018","140.79","141.73","141.94","140.42","3.22M","-0.40%"
"10/19/2018","141.35","142.14","143.07","141.01","3.00M","-0.26%"
"10/18/2018","141.72","143.31","143.61","141.00","3.78M","-1.45%"
"10/17/2018","143.80","143.91","144.15","142.33","3.15M","-0.03%"
"10/16/2018","143.84","141.75","144.06","141.36","3.99M","2.20%"
"10/15/2018","140.74","141.16","141.97","140.50","3.39M","-0.45%"
"10/12/2018","141.37","142.00","142.32","139.49","7.98M","1.32%"
"10/11/2018","139.53","142.02","142.97","138.75","11.71M","-2.13%"
"10/10/2018","142.57","146.93","146.95","142.41","6.89M","-3.18%"
"10/09/2018","147.26","147.25","148.02","147.02","3.69M","-0.18%"
"10/08/2018","147.52","147.28","147.76","146.36","2.52M","-0.07%"
"10/05/2018","147.63","148.62","148.95","146.73","3.20M","-0.65%"
"10/04/2018","148.59","149.58","149.61","147.71","3.22M","-0.85%"
"10/03/2018","149.86","150.26","150.49","149.65","2.56M","0.13%"
"10/02/2018","149.66","149.86","150.10","149.43","2.16M","-0.15%"
"10/01/2018","149.88","150.42","150.77","149.52","2.72M","0.15%"
"09/28/2018","149.65","149.28","149.99","149.23","1.80M","-0.43%"
"09/27/2018","150.30","150.24","150.95","150.08","1.81M","0.23%"
"09/26/2018","149.95","150.61","151.29","149.79","4.90M","-0.39%"
"09/25/2018","150.53","150.89","151.07","150.42","2.32M","-0.05%"
"09/24/2018","150.61","150.87","150.93","150.27","1.67M","-0.36%"
"09/21/2018","151.16","151.82","151.84","151.05","1.99M","-0.10%"
"09/20/2018","151.31","150.83","151.47","150.52","1.71M","0.77%"
"09/19/2018","150.15","150.12","150.48","150.01","1.81M","0.01%"
"09/18/2018","150.13","149.43","150.44","149.40","1.67M","0.54%"
"09/17/2018","149.33","150.24","150.28","149.19","1.66M","-0.63%"
"09/14/2018","150.28","150.28","150.48","149.79","1.36M","0.08%"
"09/13/2018","150.16","149.97","150.33","149.75","1.91M","0.50%"
"09/12/2018","149.41","149.31","149.64","148.79","2.18M","0.01%"
"09/11/2018","149.40","148.55","149.62","148.33","2.58M","0.34%"
"09/10/2018","148.90","149.20","149.33","148.79","2.16M","0.22%"
"09/07/2018","148.58","148.37","149.17","148.13","2.33M","-0.23%"
"09/06/2018","148.92","149.46","149.69","148.36","2.59M","-0.30%"
"09/05/2018","149.37","149.66","149.69","148.71","2.77M","-0.33%"
"09/04/2018","149.86","149.89","150.10","149.22","2.34M","-0.14%"
"08/31/2018","150.07","149.81","150.28","149.59","2.54M","0.04%"
"08/30/2018","150.01","150.31","150.60","149.67","2.15M","-0.41%"
"08/29/2018","150.63","149.96","150.77","149.82","2.69M","0.53%"
"08/28/2018","149.84","150.10","150.20","149.53","3.02M","0.06%"
"08/27/2018","149.75","149.32","149.87","149.10","2.13M","0.72%"
"08/24/2018","148.68","148.15","148.76","148.10","1.71M","0.62%"
"08/23/2018","147.76","147.90","148.37","147.58","1.35M","-0.20%"
"08/22/2018","148.05","147.79","148.29","147.71","1.17M","0.03%"
"08/21/2018","148.00","147.78","148.51","147.78","2.09M","0.37%"
"08/20/2018","147.45","147.45","147.69","147.16","5.76M","0.19%"
"08/17/2018","147.17","146.45","147.39","146.30","2.19M","0.37%"
"08/16/2018","146.63","146.28","147.15","146.26","1.35M","0.78%"
"08/15/2018","145.49","145.87","146.03","144.64","2.68M","-0.79%"
"08/14/2018","146.65","146.11","146.78","145.92","1.78M","0.66%"
"08/13/2018","145.69","146.40","146.75","145.46","1.90M","-0.38%"
"08/10/2018","146.25","146.35","146.76","145.94","1.85M","-0.63%"
"08/09/2018","147.17","147.37","147.68","147.07","1.23M","-0.07%"
"08/08/2018","147.27","147.33","147.53","146.98","1.27M","-0.09%"
"08/07/2018","147.41","147.29","147.62","147.00","2.53M","0.33%"
"08/06/2018","146.93","146.31","147.06","146.09","1.80M","0.45%"
"08/03/2018","146.27","145.89","146.29","145.76","1.98M","0.34%"
"08/02/2018","145.78","144.17","145.91","144.08","1.51M","0.59%"
"08/01/2018","144.92","145.19","145.53","144.49","1.52M","-0.12%"
"07/31/2018","145.09","144.82","145.51","144.54","2.00M","0.57%"
"07/30/2018","144.27","145.22","145.34","144.06","5.38M","-0.65%"
"07/27/2018","145.22","146.60","146.64","144.63","2.54M","-0.80%"
"07/26/2018","146.39","146.23","146.74","146.00","2.08M","-0.16%"
"07/25/2018","146.63","145.30","146.67","145.01","2.13M","0.85%"
"07/24/2018","145.39","145.77","146.09","144.90","2.34M","0.22%"
"07/23/2018","145.07","144.79","145.16","144.47","1.44M","0.16%"
"07/20/2018","144.84","145.00","145.24","144.56","1.51M","-0.18%"
"07/19/2018","145.10","145.07","145.42","144.60","2.03M","-0.24%"
"07/18/2018","145.45","145.13","145.50","144.85","1.33M","0.22%"
"07/17/2018","145.13","144.02","145.33","144.01","1.77M","0.46%"
"07/16/2018","144.47","144.77","144.84","144.22","1.57M","-0.16%"
"07/13/2018","144.70","144.53","144.98","144.26","1.97M","0.06%"
"07/12/2018","144.61","144.18","144.66","143.72","1.44M","0.82%"
"07/11/2018","143.43","143.62","144.10","143.10","2.04M","-0.71%"
"07/10/2018","144.46","144.39","144.61","144.03","1.44M","0.26%"
"07/09/2018","144.09","143.46","144.11","143.14","2.15M","0.91%"
"07/06/2018","142.79","141.66","143.00","141.44","1.76M","0.84%"
"07/05/2018","141.60","141.13","141.62","140.45","2.80M","0.85%"
"07/03/2018","140.41","141.36","141.47","140.22","1.33M","-0.26%"
